id,identifier,name,course_type,credit,period,instructor,college,major,note
85727,ck20181027002,药理学,,3,0,丁虹,药学院,,
85726,20191101816,形势与政策3,,0.5,0,方萍,形势与政策教育中心,,
85725,20182011067,新型功能材料,,2,0,方鹏飞,物理科学与技术学院,,
85724,20191016431,水政水法规,,1,0,梁利,水利水电学院,,
85723,20191057678,大学物理实验B,专业必修,1.5,0,,公共物理教学,,
85722,20182025133,药理学,,3.5,0,汪晖,医学院,,
85721,20191003080,实践中的马克思主义新闻观,专业选修,2,0,单波,新闻与传播学院,,
85720,20191011774,综合实验,,1,0,曹立民,物理科学与技术学院,,
85719,20172101201,形势与政策,,2,0,王忠海,形势与政策教育中心,,
85718,20183045002,离散数学,专业必修,3,54,何德彪,国家网络安全学院,信息安全,
85717,20172101198,形势与政策,,2,0,王忠海,形势与政策教育中心,,
85716,20191024066,测绘法律法规与项目管理,,2,0,徐亚明,测绘学院,,
85715,20172101197,形势与政策,,2,0,王忠海,形势与政策教育中心,,
85714,20172101861,形势与政策,,2,0,李海波,形势与政策教育中心,,
85713,ck20182002027,德语视听说（1）,,4,0,徐琼星,外国语言文学学院,,
85712,20172101862,形势与政策,,2,0,李海波,形势与政策教育中心,,
85711,20191016375,水库调度,,2,0,艾学山,水利水电学院,,
85710,20191031009,佛典与汉语,,2,0,韩小荆,文学院,,
85709,20191023740,空间信息共享服务,,2,0,沙宗尧,遥感信息工程学院,,
85708,20182006083,模拟法庭,,2,0,袁康,法学院,,
85707,20191002972,经贸俄语,,2,0,毛志文,外国语言文学学院,,
85706,20191017060,电气设备监测与故障诊断技术,,1.5,0,肖淞,电气与自动化学院,,
85705,20191017094,新能源与分布式发电,,2,0,刘飞,电气与自动化学院,,
85704,20191026349,儿童口腔医学,,1,0,宋光泰,口腔医学院,,
85703,20191026346,牙体牙髓病学实验,,1.5,0,孟柳燕,口腔医学院,,
85702,20191026343,牙体牙髓病学,,1,0,孟柳燕,口腔医学院,,
85701,20191026857,口腔颌面外科学实验（上）,,0.5,0,李健,口腔医学院,,
85700,20191026864,口腔组织病理学实验（上）,,0.5,0,王丽,口腔医学院,,
85699,20191026841,口腔修复学实验（上）,,1.5,0,张义芳,口腔医学院,,
85698,20191026838,口腔预防医学实验（上）,,0.5,0,刘畅,口腔医学院,,
85697,20191026835,口腔预防医学（上）,,0.5,0,杜民权,口腔医学院,,
85696,20191026832,口腔修复学（上）,,1,0,黄翠,口腔医学院,,
85695,20191026829,口腔颌面外科学（上）,,1.5,0,杨学文,口腔医学院,,
85694,20191026820,口腔组织病理学（上）,,1,0,张佳莉,口腔医学院,,
85693,20191026784,口腔生物学,,2,0,贾荣,口腔医学院,,
85692,20191039784,伦理与职业态度,,1,0,万静,第二临床学院,,
85691,20191003092,实践中的马克思主义新闻观,专业选修,2,0,单波,新闻与传播学院,,
85690,20191019058,城市总体规划设计,,3,0,张军,城市设计学院,,
85689,20191016704,水电站,,1.5,0,石长征,水利水电学院,,
85688,20191011784,综合实验,,1,0,何春清,物理科学与技术学院,,
