,id,identifier,name,course_type,credit,period,instructor,college,major,note
4,85723,20191057678,大学物理实验B,专业必修,1.5,0,,公共物理教学,,
6,85721,20191003080,实践中的马克思主义新闻观,专业选修,2.0,0,单波,新闻与传播学院,,
9,85718,20183045002,离散数学,专业必修,3.0,54,何德彪,国家网络安全学院,信息安全,
36,85691,20191003092,实践中的马克思主义新闻观,专业选修,2.0,0,单波,新闻与传播学院,,
73,85654,20191003090,实践中的马克思主义新闻观,专业选修,2.0,0,单波,新闻与传播学院,,
87,85640,20191011776,综合实验,专业必修,1.0,0,张东,物理科学与技术学院,,
325,85402,20191017288,热工过程自动调节,专业选修,1.5,0,袁立宏,电气与自动化学院,,
326,85401,20191018098,专业文献科技导读,专业选修,2.0,0,曾洪涛,动力与机械学院,,
327,85400,20191018094,水力机组辅助设备,专业选修,2.0,0,蔡天富,动力与机械学院,,
328,85399,20191018100,水力机组调节,专业必修,2.0,0,程远楚,动力与机械学院,,
329,85398,20191018097,水电站与泵站自动化,专业必修,2.0,0,肖志怀,动力与机械学院,,
330,85397,20191018093,流体输送,专业选修,2.0,0,刘志勇,动力与机械学院,,
331,85396,20191018092,水力机组安装与检修,专业选修,1.5,0,符向前,动力与机械学院,,
332,85395,20191018095,水力机械空蚀及防护,专业选修,1.5,0,何培杰,动力与机械学院,,
333,85394,20191018096,水力过渡过程及水锤防护,专业选修,1.5,0,蒋劲,动力与机械学院,,
334,85393,20191018099,水电站与泵站监控系统,专业选修,1.5,0,陈启卷,动力与机械学院,,
335,85392,20191018103,水电站与泵站自动化课程设计,专业必修,1.0,0,肖志怀,动力与机械学院,,
336,85391,20191018102,水力机组调节课程设计,专业必修,0.5,0,程远楚,动力与机械学院,,
337,85390,20191018101,节能减排科技实践,专业选修,2.0,0,曾洪涛,动力与机械学院,,
338,85389,20191022742,电信网原理与综合实训,专业必修,4.0,0,邹炼,电子信息学院,,
339,85388,ck20182002020,英语短篇小说,专业必修,3.0,0,左广明,外国语言文学学院,,
340,85387,ck20182002016,英美概况,专业必修,3.0,0,左广明,外国语言文学学院,,
